"%s弯曲","%sBend"
"影响对象","Affect Object"
"将形状键从主网格传输到其他网格","Transfer shapekeys from main mesh to other meshes"
"不合规网格","Non-conforming Meshes"
"将形键转移到不符合要求的网格","Transfer shapekeys to non-conforming meshes"
"忽略刚性","Ignore Rigidity"
"自动传输变形时忽略刚度组。\n变形可能与 DAZ Studio 不同","Ignore rigidity groups when auto-transfer morphs.\nMorphs may differ from DAZ Studio"
"导入 DAZ 收藏夹","Import DAZ Favorites"
"导入在 DAZ Studio 中标记为收藏的自定义变形","Import custom morphs marked as favorites in DAZ Studio"
"变形","Morph"
"%s 引用","%s REFS"
"%s 参考","%s REF"
"隐","Hidden"
"DAZ 设置（版本 4.1.0.%04d）","DAZ Setup (version 4.1.0.%04d)"
"更正","Corrections"
"变形驱动程序已禁用","Morph Drivers Disabled"
"能见度","Visibility"
"头发","Hair"
"  头发：%s","  Hair:  %s"
"  人类","  Human: %s"
"精加工","Finishing"
"高级设置","Advanced Setup"
"低多边形","Lowpoly"
"高清网格","HDMesh"
"网","Mesh"
"实用工具","Utilities"
"活动对象：%s","Active Object: %s"
"没有活动对象","No active object"
"活动骨骼：%s","Active Bone: %s"
"真骨：%s","True Bone: %s"
"无活动骨骼","No active bone"
"%.3f","%.3f"
"DAZ 运行时（版本 4.1.0.%04d）","DAZ Runtime (version 4.1.0.%04d)"
"摆姿势","Posing"
"锁定和限制","Locks And Limits"
"未分类的标准形态","Unclassified Standard Morphs"
"FaceCap 和 LiveLink","FaceCap and LiveLink"
"移至 BVH Retargeter","moved to BVH Retargeter"
"身体变形","Body Morphs"
"烘焙","Baked"
"％s：％.3f","%s : %.3f"
"打开所有类别","Open All Categories"
"关闭所有类别","Close All Categories"
"自定义变形","Custom Morphs"
"网格形状键","Mesh Shape Keys"
"自动关注","Auto Follow"
"图层","Layers"
"简单 IK","Simple IK"
"我知道","IK"
"自由港","FK"
"％秒 ％秒","%s %s"
"左边","Left"
"正确的","Right"
"IK影响力","IK Influence"
"手臂","Arm"
"腿","Leg"
"IK 弹性","IK Stretchiness"
"武器","Arms"
"腿","Legs"
"捕捉 FK 骨骼","Snap FK bones"
"左臂","Left Arm"
"右臂","Right Arm"
"左腿","Left Leg"
"右腿","Right Leg"
"捕捉 IK 骨骼","Snap IK bones"
"贝壳","Shells"
"DAZ Rigify 属性","DAZ Rigify Properties"
"目光跟随头部","Gaze Follows Head"
"左眼凝视","Left Gaze"
"右眼凝视","Right Gaze"
"骨骼名称","Bone name"
"平均刚度图权重","Average Rigidty Map Weight"
"形键名称","Shapekey name"
"形键形状的中心 刚度参考顶点","Center of shapekey shape Rigidity Reference vertices"
"比例因子","Scale Factor"
"在将shapekey传输到已定义刚度组的geograft时计算比例因子","Scale factor is calculated when transfer shapekey to the geograft that has defined Rigidity Group"
"Rigidity Group 最初来自的对象的名称（例如 Geograft）","Name of object (eg. Geograft) that Rigidity Group originaly came from"
"基础形状中心 刚度 参考顶点","Center of basis shape Rigidity Reference vertices"
"查找多边形","Find Polys"
"制作低多边形","Make Low Poly"
"用低多边形版本替换所有选定的网格","Replace all selected meshes by low-poly versions"
"保持 UV 孤岛","Keep UV Islands"
"保持 UV 孤岛","Keep UV islands"
"迭代次数","Iterations"
"取消细分的次数","Number of times to unsubdivide"
"四边形","Quads"
"将尽可能多的三角形转换为四边形","Convert as many triangles to quads as possible"
"寻找接缝","Find Seams"
"根据现有 UV 创建接缝","Create seams based on existing UVs"
"选择随机股线","Select Random Strands"
"分数","Fraction"
"要选择的股线分数","Fraction of strands to select"
"种子","Seed"
"随机数生成器的种子","Seed for the random number generator"
"按宽度选择股线","Select Strands By Width"
"选择不宽于阈值的股线","Select strands not wider than threshold"
"宽度","Width"
"最大允许宽度 (mm)","Max allowed width (mm)"
"按尺寸选择股线","Select Strands By Size"
"应用变形","Apply Morphs"
"应用所有形状键","Apply all shapekeys"
"应用子表面","Apply Subsurf"
"应用子表面修改器，维护形键","Apply subsurf modifier, maintaining shapekeys"
"打印统计","Print Statistics"
"显示选定网格的统计信息","Display statistics for selected meshes"
"添加模特","Add Mannequins"
"将人体模型添加到选定的网格中。","Add mannequins to selected meshes. Don"
"头型","Head Type"
"如何制作模特头","How to make the mannequin head"
"模特系列","Mannequin Collection"
"将模特添加到此系列","Add mannequin to this collection"
"网格集合","Mesh Collection"
"将基础网格添加到此集合","Add base meshes to this collection"
"转移法线","Transfer Normals"
"将自定义法线转移到人体模型网格","Transfer custom normals to mannequin meshes"
"传输顶点组","Transfer Vertex Groups"
"将顶点组转移到人体模型网格","Transfer vertex groups to mannequin meshes"
"忽略骨骼组","Ignore Bone Groups"
"临界点","Threshold"
"要保留的最小顶点权重","Minimum vertex weight to keep"
"传递顶点颜色","Transfer Vertex Colors"
"将顶点颜色转移到人体模型网格","Transfer vertex colors to mannequin meshes"
"传输 UV 层","Transfer UV Layers"
"将 UV 层转移到人体模型网格","Transfer UV layers to mannequin meshes"
"添加推送","Add Push"
"添加推形键","Add a push shapekey"
"推","Push"
"做出偏转","Make Deflection"
"为活动网格制作一个低多边形偏转网格","Make a low-poly deflection mesh for the active mesh"
"将偏转器转换为多数四边形网格","Convert the deflector into a majority-quad mesh"
"子表面","Subsurf"
"使用子表面修改器平滑偏转网格","Smooth the deflection mesh with a subsurf modifier"
"收缩包装","Shrinkwrap"
"将偏转网格收缩到原始网格","Shrinkwrap the deflection mesh to the original mesh"
"复制修改器","Copy Modifiers"
"将修改器从活动网格复制到选定网格","Copy modifiers from active mesh to selected"
"使用 Subsurf","Use Subsurf"
"同时复制 subsurf 和 multires 修饰符","Also copy subsurf and multires modifiers"
"取下布料","Remove Cloth"
"从源网格中删除布料修改器","Remove cloth modifiers from source mesh"
"广州铭","GZM_"
"将活动网格转换为父骨架骨骼的自定义形状","Convert the active mesh to custom shapes for the parent armature bones"
"删除未使用的","Delete Unused"
"删除未使用的骨骼。\n如果禁用，则未使用的骨骼将被隐藏","Delete unused bones.\nIf disabled, unused bones are hidden"
"渲染帧","Render Frames"
"将一系列帧渲染为静止图像。\n为了克服变形骨架和渲染的问题","Render a range of frames as still images.\nTo overcome problems with morphing armatures and rendering"
"所有骨架","All Armatures"
"自动变形所有可见骨架，而不仅仅是可见骨架","Auto morph all visible armatures instead of just the visible ones"
"开放 GL","Open GL"
"Open GL 渲染","Open GL rendering"
"在装配之前优化静止姿势。\n对于手部动画，因为姿势无法正确导入","Optimize rest pose before rigifying.\nFor hand animation, because poses will not be imported correctly"
"自动对齐手/脚","Auto Align Hand/Foot"
"自动对齐手和脚（装备参数）","Auto align hand and foot (Rigify parameter)"
"重新计算卷","Recalc Roll"
"重新计算大腿和胫骨的滚动角度，\n使它们与全局 Z 轴对齐。\n适用于 Genesis 1、2 和 3 角色","Recalculate the roll angles of the thigh and shin bones,\nso they are aligned with the global Z axis.\nFor Genesis 1,2, and 3 characters"
"胫骨裂骨","Split Shin Bone"
"将胫骨分成弯曲和扭曲的部分","Split the shin bone into bend and twist parts"
"自定义图层","Custom Layers"
"显示脸部和自定义骨骼的图层。\n不适用于 Rigify 旧版","Display layers for face and custom bones.\nNot for Rigify legacy"
"分离 IK 脚趾","Separate IK Toes"
"创建单独的 IK 脚趾控制以实现更好的 IK/FK 捕捉","Create separate IK toe controls for better IK/FK snapping"
"装备源","Rigify Source"
"脊柱","spine"
"通过存储弯曲角度来改善 IK。\n这与 daz 姿势兼容，但不适用于 rigify 杆，因此无法使用。\n如果使用 IK 优化姿势，则不需要","Improve IK by storing a bending angle.\nThis is compatible with daz poses but does not work with rigify poles so they can not be used.\nNot needed if Optimize Pose for IK is used"
"%s%s.%s","%s%s.%s"
"DEF-%s.001","DEF-%s.001"
"DEF-%s.01","DEF-%s.01"
"DEF-%s.02","DEF-%s.02"
"DEF-","DEF-"
"达兹","DAZ"
"%s%s%d","%s%s%d"
"ORG-％s.％02d.％s","ORG-%s.%02d.%s"
"转换为装备","Convert To Rigify"
"将活动装备转换为装备","Convert active rig to rigify"
"删除 Metarig","Delete Metarig"
"在 Rigify 后删除中间装备","Delete intermediate rig after Rigify"
"创建 Metarig","Create Metarig"
"从活动装备创建元装备","Create a metarig from the active rig"
"装备 Metarig","Rigify Metarig"
"将 metarig 转换为 rigify","Convert metarig to rigify"
"注视骨骼跟随头部骨骼旋转","The gaze bone follows the head bone rotations"
"凝视左边","Gaze Left"
"眼球追踪左凝视骨骼量","eye tracking the left gaze bone amount"
"凝视右方","Gaze Right"
"眼球追踪正确的凝视骨骼量","eye tracking the right gaze bone amount"
"由 IK 控制的舌头骨骼","Tongue bones controlled by IK"
"单位","Units"
"设置全局单位比例","Set global unit scale"
"对象比例","Object Scale"
"活动物体的比例","Scale of the active object"
"更新单位比例","Update Unit Scale"
"更新全局单位比例","Update global unit scale"
"物体比例：%.4f","Object Scale: %.4f"
"秤体材质","Scale Materials"
"使用长度维度缩放材料属性（凹凸距离、地下半径等）","Scale material properties with dimension of length\n(bump distance, subsurface radius, etc.)"
"缩放对象","Scale Objects"
"安全地更改所选对象和子对象的单位比例","Safely change the unit scale of selected object and children"
"扫描活动网格","Scan Active Mesh"
"仅扫描活动网格的变形","Only scan morphs for active mesh"
"创世纪","Genesis"
"扫描创世纪","Scan Genesis"
"创世纪 2 女","Genesis 2 Female"
"扫描 Genesis 2 女性","Scan Genesis 2 female"
"创世纪 2 男","Genesis 2 Male"
"扫描 Genesis 2 男性","Scan Genesis 2 male"
"创世纪 3 女","Genesis 3 Female"
"扫描 Genesis 3 女性","Scan Genesis 3 female"
"创世纪 3 男","Genesis 3 Male"
"扫描 Genesis 3 男性","Scan Genesis 3 male"
"创世纪 8 女","Genesis 8 Female"
"扫描 Genesis 8 女性","Scan Genesis 8 female"
"创世纪 8 男","Genesis 8 Male"
"扫描 Genesis 8 男性","Scan Genesis 8 male"
"创世纪 8.1 女","Genesis 8.1 Female"
"扫描 Genesis 8.1 女性","Scan Genesis 8.1 female"
"创世纪 8.1 男","Genesis 8.1 Male"
"扫描 Genesis 8.1 男性","Scan Genesis 8.1 male"
"创世记 9","Genesis 9"
"扫描 Genesis 9","Scan Genesis 9"
"扫描变形目录","Scan Morph Directory"
"扫描单个目录以查找当前网格的变形，并建立数据库","Scan a single directory for morphs for the present mesh,\nand build a database"
"公式","Formulas"
"包括公式","Include formulas"
"子目录","Subdirectories"
"同时扫描顶级子目录","Also scan top level subdirectories"
"定义","Definitions"
"包括定义路径。\n如果变形和文件名不同","Include paths to definitions.\nIf morph and file names differ"
"扫描形态数据库","Scan Morph Database"
"扫描 DAZ 数据库\n查找当前网格的变形，\n并构建数据库","Scan the DAZ database\nfor morphs for the present mesh,\nand build a database"
"检查数据库更新","Check Database For Updates"
"所有角色","All Characters"
"扫描变形数据库以查找所有角色类型","Scan morph database for all character types"
"全选","Select all"
"选择无","Select none"
"激活此类型所有未受保护的变形","Activate all unprotected morphs of this type"
"受保护","Protected"
"激活此类型的所有受保护变形","Activate all protected morphs of this type"
"停用此类型的所有变形","Deactivate all morphs of this type"
"将选定的所有指定类型的变形设置为零。\n不影响整数属性","Set all selected morphs of specified type to zero.\nDoes not affect integer properties"
"设置变形","Set Morphs"
"将指定类型的所有选定变形设置为给定值。\n不影响整数属性","Set all selected morphs of specified type to given value.\nDoes not affect integer properties"
"价值","Value"
"将所有选定的变形设置为该值","Set all selected morphs to this value"
"清晰的形状","Clear Shapes"
"将所有选定的指定类型的shapekey值设置为零","Set all selected shapekey values of specified type to zero"
"设置形状","Set Shapes"
"将选定的所有指定类型的形状键值设置为给定值。\n不影响整数属性","Set all selected shapekey values of specified type to given value.\nDoes not affect integer properties"
"将所有选定的形状键设置为该值","Set all selected shapekeys to this value"
"键盘","Keyset"
"将选定的变形添加到活动自定义键控集，或创建新的键控集","Add selected morphs to active custom keying set, or make new one"
"daz_morphs","daz_morphs"
"设置关键点","Set Keys"
"在当前帧为所有选定的指定类型的变形设置关键帧","Set keys for all selected morphs of specified type at current frame"
"在当前帧为指定类型的所有形状设置关键帧","Set keys for all shapes of specified type at current frame"
"移除密钥","Remove Keys"
"从当前帧中选定的所有指定类型的变形中删除关键帧","Remove keys from all selected morphs of specified type at current frame"
"从当前帧中删除所有指定类型的形键","Remove keys from all shapekeys of specified type at current frame"
"切换所有类别","Toggle All Categories"
"打开或关闭所有变形类别","Toggle all morph categories on and off"
"固定属性","Pin property"
"固定形状键值","Pin shapekey value"
"添加简单 IK","Add Simple IK"
"手臂运动","Arm IK"
"为手臂添加 IK","Add IK to arms"
"腿部运动","Leg IK"
"为腿部添加 IK","Add IK to legs"
"将极点目标添加到 IK 链。\n姿势将无法正确加载。","Add pole targets to the IK chains.\nPoses will not be loaded correctly."
"ERC 变形影响 IK","ERC Morphs Affect IK"
"让 ERC 变形改变 IK 手、IK 脚跟和杆目标位置","Let ERC morphs change the IK hands, IK heels, and pole target locations"
"根骨","Root Bone"
"添加一个根骨骼，它是所有其他骨骼的父骨骼","Add a root bone which is the parent of all other bones"
"反向脚","Reverse Foot"
"为 IK 添加反向脚","Add reverse foot for IK"
"Snap FK","Snap FK"
"将 FK 骨骼捕捉到 IK 骨骼","Snap FK bones to IK bones"
"Snap FK 全部","Snap FK All"
"将所有 FK 骨骼捕捉到 IK 骨骼","Snap all FK bones to IK bones"
"Snap FK 动画","Snap FK Animation"
"捕捉选定帧的 FK 动画","Snap FK animation for selected frames"
"包括左臂的动画","Include animation for left arm"
"包括右臂的动画","Include animation for right arm"
"包括左腿动画","Include animation for left leg"
"包括右腿的动画","Include animation for right leg"
"更改图层","Change Layers"
"捕捉 IK","Snap IK"
"将 IK 骨骼与 FK 骨骼对齐。\n对齐仅是近似的","Snap IK bones to FK bones.\nSnapping is only approximate"
"捕捉 IK 全部","Snap IK All"
"将所有 IK 骨骼对齐到 FK 骨骼。\n对齐只是近似的","Snap all IK bones to FK bones.\nSnapping is only approximate"
"切换 FK IK","Toggle FK IK"
"切换 FK/IK","Toggle FK/IK"
"连接骨链","Connect Bone Chains"
"将链中的所有骨骼与其父骨骼连接起来","Connect all bones in chains to their parents"
"连接手臂骨骼","Connect arm bones"
"连接腿骨","Connect leg bones"
"脊柱","Spine"
"连接脊椎骨","Connect spine bones"
"脖子","Neck"
"连接颈骨","Connect neck bones"
"手指","Fingers"
"连接手指骨头","Connect finger bones"
"脚趾","Toes"
"连接脚趾骨骼","Connect toe bones"
"舌头","Tongue"
"连接舌骨","Connect tongue bones"
"选定","Selected"
"连接选定的骨骼","Connect selected bones"
"解锁最后一根骨头","Unlock Last Bone"
"移除每个链中最后一个骨骼的位置锁，以用作自动 IK 目标","Remove location locks of the last bone in each chain for use as Auto IK target"
"地点","Location"
"父骨骼和子骨骼的连接位置","Where to connect parent and child bones"
"选择所有命名图层并取消选择所有未命名图层","Select all named layers and unselect all unnamed layers"
"取消选择除活动图层之外的所有命名和未命名图层","Unselect all named and unnamed layers except active"
"复制绝对姿势","Copy Absolute Pose"
"改善 IK 行为","Improve IK behaviour"
"批量设置自定义形状","Batch Set Custom Shape"
"将选定的网格设置为所有选定骨骼的自定义形状","Set the selected mesh as the custom shape of all selected bones"
"清除自定义形状","Clear custom shapes"
"翻译","Translation"
"回转","Rotation"
"左臂 IK","Left Arm IK"
"右臂 IK","Right Arm IK"
"左腿 IK","Left Leg IK"
"右腿 IK","Right Leg IK"
"弹性手臂","Stretchy Arms"
"弹性腿","Stretchy Legs"
"将顶点组从活动状态转移到选定状态","Transfer vertex groups from active to selected"
"按编号复制顶点组","Copy Vertex Groups By Number"
"将顶点组从活动网格复制到具有相同顶点数量的选定网格","Copy vertex groups from active to selected meshes with the same number of vertices"
"传输形状键","Transfer Shapekeys"
"将形状键从活动网格传输到选定网格","Transfer shapekeys from active mesh to selected meshes"
"转移方式","Transfer Method"
"转移形态的方法","Method used to transfer morphs"
"转移驱动程序","Transfer Drivers"
"传输形状键和驱动程序","Transfer both shapekeys and drivers"
"Shapekeys 作为驱动程序","Shapekeys As Drivers"
"使用主形状键来驱动其他形状键","Use the main shapekey to drive the other shapekeys"
"力量倍增器","Strength Multiplier"
"为驱动程序添加强度乘数","Add a strength multiplier to drivers"
"使用供应商变形","Use Vendor Morphs"
"使用供应商提供的定制变形，否则始终自动传输变形","Use customized morphs provided by vendor,\notherwise always auto-transfer morphs"
"覆盖现有的形状键","Overwrite Existing Shapekeys"
"覆盖现有形状键或创建新形状键","Overwrite existing shapekeys or create new ones"
"仅选定顶点","Selected Verts Only"
"仅复制到选定顶点","Only copy to selected vertices"
"应用所有形键","Apply All Shapekeys"
"将所有形状键应用于选定的网格","Apply all shapekeys to selected meshes"
"应用活动形键","Apply Active Shapekey"
"将活动形状键添加到所有其他形状键","Add active shapekey to all other shapekeys"
"应用形状键","Apply shapekey "
"混合形状键","Mix Shapekeys"
"混合形状键","Mix shapekeys"
"形键 1","Shapekey 1"
"第一个形键","First shapekey"
"形键 2","Shapekey 2"
"第二个形状键","Second shapekey"
"因素 1","Factor 1"
"第一个因素","First factor"
"因素 2","Factor 2"
"第二因素","Second factor"
"混合所有类似","Mix All Similar"
"混合所有具有相似名称的形状键","Mix all shapekeys with similar names"
"首先覆盖","Overwrite First"
"覆盖第一个形状键","Overwrite the first shapekey"
"删除合并","Delete Merged"
"合并后删除未使用的形状键","Delete unused shapekeys after merge"
"新形键","New shapekey"
"新形键的名称","Name of new shapekey"
"过滤器 1","Filter 1"
"过滤器 2","Filter 2"
"第一的","First"
"第二","Second"
"因素","Factor"
"形键","Shapekey"
"修剪顶点组","Prune Vertex Groups"
"删除权重低于阈值的顶点和组","Remove vertices and groups with weights below threshold"
"可视化 Shapekey","Visualize Shapekey"
"将shapekey可视化为一个顶点组","Visualize shapekey as a vertex group"
"下限","Lower Threshold"
"形键距离的下阈值，单位为毫米","Lower threshold for shapekey distance, in mm"
"上限","Upper Threshold"
"形键距离的上限阈值，单位为毫米","Upper threshold for shapekey distance, in mm"
"錄影 %s","DIMG %s"
"Geograft 瓷砖","Tiles From Geograft"
"将地理移植 UV 坐标移动到与身体 UV 相同的图块","Move geograft UV coordinates to same tile as body UVs"
"修复纹理瓷砖","Fix Texture Tiles"
"将纹理复制到正确的目录并更正图块编号。\n修复不正确的 Genesis 8.1 材质名称","Copy textures to the right directory and correct tile numbers.\nTo fix incorrect Genesis 8.1 material names"
"制作 UDIM 材质","Make UDIM Materials"
"将选定网格的材质组合成单一的 UDIM 材质","Combine materials of selected mesh into a single UDIM material"
"积极的","Active"
"如果尚未保存本地纹理","Save local textures if not already done"
"修复纹理","Fix Textures"
"合并材质而不只是纹理。\n这可能会导致一些信息丢失。\n如果没有，可以随后调用合并材质","Merge materials and not only textures.\nThis may cause some information loss.\nIf not, Merge Materials can be called afterwards"
"堆栈外壳","Stack Shells"
"将壳组添加到 UDIM 材料","Add shell groups to UDIM material"
"要合并的材质","Materials To Merge"
"％秒","T_%s"
"设置 UDIM 图块","Set UDIM Tile"
"将选定材质的所有 UV 坐标移动到指定的 UV 平铺","Move all UV coordinates of selected materials to specified UV tile"
"更新滚动条","Update Scrollbars"
"更新所有滚动条","Update all scrollbars"
"DAZ_UL_Custom_％s","DAZ_UL_Custom_%s"
"DAZ_UL_Shape_％s","DAZ_UL_Shape_%s"
"显示设置选项卡","Show Setup Tab"
"显示 DAZ 设置选项卡","Show the DAZ Setup tab"
"显示运行时选项卡","Show Runtime Tab"
"显示 DAZ 运行时选项卡","Show the DAZ Runtime tab"
"钻机层","Rig Layers"
"VIEW3D_PT_rig_layers_","VIEW3D_PT_rig_layers_"
"根","Root"
"长袍","Robe"
"披风","Cloak"
