Value,Key
加载 OBJ 文件,Load a Wavefront OBJ File
加载Wavefront OBJ场景,Load a Wavefront OBJ scene
加载缓存文件,Load a cache file
加载 glTF 2.0 文件,Load a glTF 2.0 file
加载本地包,Load a local package
从文件加载新字体文件,Load a new font from a file
加载所选SBSAR的新实例,Load a new instance of the selected SBSAR
加载所选SBSAR的新实例.,Load a new instance of the selected SBSAR.
加载预设,Load a preset
加载一个帧序列或一个影片文件,Load a sequence of frames or a movie file
加载声音文件,Load a sound file
加载声音文件为单声道,Load a sound file as mono
在列表中加载所有选中的材质,Load all checked materials in list
加载所有矫正变形,Load all corrective morphs
加载所有表达式变形,Load all expression morphs
加载所有面单位变形 ,Load all face unit morphs
加载所有帧？ Load all frames?,Load all frames?
从目录加载所有图像,Load all images from the directory
从目录中加载所有图像?,Load all images from the directory?
加载选定目录中的所有变形,Load all morphs in selected directory
将所有变形加载到Faical帧,Load all morphs to faical frame
从文件中加载所有打包机选项,Load all packer options from a file
加载所有翻译,Load all translations
加载所有viseme变形,Load all viseme morphs
加载一个AI或PDF或SVG文件   Load an AI or PDF or SVG file,Load an AI or PDF or SVG file
加载Alembic文档,Load an Alembic archive
加载图像纹理,Load an Image Texture
从一个BVH文件中加载骨架,Load an armature from a bvh file
加载并应用一个Blender的XML主题文件,Load and apply a Blender XML theme file
从实验室库加载并应用 {0},Load and apply {0} from lab library
轻松加载和测试HDRIs,Load and test your HDRIs easily.
加载动画(bvh),Load animation (bvh)
从BVH文件加载动画到活动骨架,Load animation from bvh file to the active armature
加载任何声音文件,Load any sound file
加载存档URL(Blend的.zip.gz),Load archive URL (.zip .gz of blend)
从BVH文件中加载骨架并重命名为bones,Load armature from bvh file and rename bones
加载骨架的骨骼组以显示项目框架,Load armature's bone groups to display item frames
加载为,Load as
加载为复制,Load as Duplicate
加载可用的图像，不依赖引擎,"Load available images, engine agnostic"
加载烘焙预设,Load bake preset
加载集群 Load cluster,Load cluster
从json文件加载自定义倒角轮廓配置文件,Load custom bevel profile from a json file
加载自定义静止姿势,Load custom rest pose
加载皮肤贴图,Load dermal map
加载置换贴图,Load displacement map
动态加载,Load dynamically
加载环境,Load environment
加载扩展,Load extensions
"还原默认偏好设置。使用""保存偏好设置""来永久保存修改","Load factory default preferences. To make changes to preferences permanent, use ""Save Preferences"""
"还原启动文件和默认偏好设置。使用""保存启动文件""和""保存偏好设置""来永久保存修改","Load factory default startup file and preferences. To make changes permanent, use ""Save Startup File"" and ""Save Preferences"""
加载favorite变形,Load favorite morphs
加载图像文件的文件夹和子文件夹,Load folder and subfolder of image files
为当前工具加载,Load for Current Tool
从图标库载入缩略图,Load from Icon Library
加载图像,Load image
加载图像文件: {},Load image file: {}
加载图像并创建视图. ,Load images and create views. 
"加载图像并创建视图. 
所有图像的大小必须相同. 
您可以一次选择多个图像","Load images and create views. 
All images must be of the same size. 
You can select multiple images at once"
基于设置引擎的json节点配置加载,Load in json node config for material based on set engine
加载项目到当前状态,Load item to current state
加载json预设,Load json preset
加载上次保存的设置,Load last saved preferences
加载映射 Load mapping,Load mapping
从文件中加载材质,Load material from files
从选择的文件中加载材质,Load material(s) from selected file(s)
加载材质,Load materials
载入从Poliigon.com下载的贴图到blender,Load materials into blender downloaded from Poliigon.com
将材质加载到活动网格,Load materials to active mesh
加载缺失关系项(Load missing members of relations),Load missing members of relations
加载怪物(mobs),Load mobs
从资源库加载模型,Load model from assets library
加载最近使用的.blend文件,Load most recently used .blend file
加载在线手册,Load online manual
加载或保存光子贴图文件,Load or Save photon map file
加载或初始化更新程序状态的JSON字典数据,Load or initialize JSON dictionary data for updater state
加载或初始化更新程序状态的json字典数据,Load or initialize json dictionary data for updater state
加载参数,Load params
加载姿势,Load pose
从已保存的json文件加载首选项设置,Load preference settings from saved json file
加载上一次会话,Load previous session
从活动骨架加载保存的映射,Load saved mapping from active armature
从加载设置,Load settings from
从文件加载设置,Load settings from file
加载带音效的视频文件,Load sound with the movie
加载生成器,Load spawners
加载纹理,Load textures
将收藏夹保存到当前文件,Load the Favorites from the Current File
加载启动收藏夹,Load the Startup Favorites
从插件首选项中的指定文件加载启动收藏夹列表,Load the Startup Favorites list from the specified file in the add-on preferences
首先加载插件市场,Load the addon marketplace first
加载群集,Load the cluster
"加载默认 (""初始启动"") blend文件。它独立于用户可以保存的正常启动文件",Load the default ('factory startup') blend file. This is independent of the normal start-up file that the user can save
载从资源库中选择的元素,Load the element selected from the assets library
从当前文件加载笔刷的收藏夹列表,Load the favorites list of brushes from the current file
加载json字符串,Load the json string
加载keymap.py文件，以便可以在文本编辑器中更改键,Load the keymap.py file so that you can change the keys in the Text Editor
加载传统面板核心预设,Load the legacy panel kernel presets
加载最近计算的帧,Load the most recently computed frame
加载原始文件,Load the original file
先加载marketplace包,Load the package marketplace first
从预设文件中载入包装盒坐标,Load the packing box coordinates from a preset file
在此文件中加载渲染预设场景.,Load the rendering preset scene in this file.
加载该物体的第二个形态键(第一个不是引用键),Load the second shape key of this object (the first that is not the reference key)
加载自定义节点的模板代码 ,Load the template code for custom nodes 
在文本编辑器中加载自定义节点和单元格的模板代码,Load the template code for custom nodes and cells in the text editor
加载翻译字段,Load translation fields
在屏幕上加载翻译字段,Load translation fields on screen
从连续的JSon文件加载翻译设置,Load translations' settings from a persistent JSon file
从.blend工程文件中加载用户界面设置,Load user interface setup from the .blend file
从工程中加载用户界面设置,Load user interface setup in the .blend file
从工程文件中加载用户的界面设置,Load user interface setup when loading .blend files
从以前的安装中加载用户设置和预设,Load user settings and presets from a previous installation
加载json配置值,Load values of json config values
加载 {cls.plural},Load {cls.plural}
加载 {cls.singular},Load {cls.singular}
载入{} 发材质{},Load {} Material{}
从所选骨骼的y轴或唯一可旋转轴加载/启用MMD固定轴,Load/Enable MMD fixed axis of selected bones from their Y-axis or the only rotatable axis
从骨骼轴加载/启用选定骨骼的MMD局部轴,Load/Enable MMD local axes of selected bones from their bone axes
加载/保存 设置,Load/Save Settings
加载项目,LoadProject
加载 ,Loaded
已加载 %s 的扩展(Loaded %s extensions),Loaded %s extensions
加载1个扩展,Loaded 1 extension
载入包(局部):,Loaded Packages:
加载SBSAR,Loaded SBSAR(s)
加载 SBSARs,Loaded SBSARs
"加载csv文件，发现{0}资产
","Loaded csv file and found {0} assets
"
"加载的设备: cpu={pyrpr.Context.cpu_device}, gpu={pyrpr.Context.gpu_devices}","Loaded devices: cpu={pyrpr.Context.cpu_device}, gpu={pyrpr.Context.gpu_devices}"
加载界面,Loaded interface
"加载下一个文件 ""%s"" (%d/%d)","Loaded next file ""%s"" (%d/%d)"
从文件加载调色板: {},Loaded palette from file: {}
"加载上一个文件 ""%s"" (%d/%d)","Loaded previous file ""%s"" (%d/%d)"
加载地形材质,Loaded terrain material
加载 {0} 类别从变形数据库,Loaded {0} categories from morph database
载入 {} 材质,Loaded {} materials
加载程序选择,LoaderOpts
"加载 ""%s"" 失败: ","Loading ""%s"" failed: "
加载 '%s' 失败: ,Loading '%s' failed: 
加载资产库,Loading Asset Libraries
正在加载笔刷预设…,Loading Brush Presets...
正在加载笔刷…,Loading Brushes...
正在加载资源包…,Loading Bundles...
正在加载主窗口…,Loading Main Window...
加载Material Combiner..,Loading Material Combiner..
正在加载页面…,Loading Pages...
正在加载 Exiv 和输入输出插件…,Loading Plugins Exiv/IO...
正在加载 Krita 工具面板的插件…,Loading Plugins for Krita/Dock...
正在加载 Krita 工具的插件…,Loading Plugins for Krita/Tool...
从{0}加载Python插件...。,Loading Python plugins from {0}...
加载PRP加载项,Loading RPR addon {}
正在加载资源…,Loading Resources...
加载屏幕,Loading Screen
加载插件 %s ... ,Loading addon %s ... 
加载SBSAR需要场景中的一个对象来创建blender材质,Loading an SBSAR requires an object in scene in order to create the blender material
加载blend文件 %d/%d: %s,Loading blend file %d/%d: %s
加载角色从 {0},Loading character from {0}
加载csv文件:,Loading csv file:
加载导出设置失败。 删除了损坏的设置,Loading export settings failed. Removed corrupted settings
加载失败: ,Loading failed: 
加载字体文件:,Loading font file:
加载图片 %s,Loading image %s
加载图片:,Loading images:
加载渲染kemels(第一次可能需要几分钟),Loading render kemels (may take a few minutes the first time)
加载文本文件:,Loading text file:
加载默认设置,Loads default settings
加载选定的模板启动文件,Loads selected template startup file
加载插件,Loads the addons
从市场加载插件,Loads the addons from the marketplace
加载市场,Loads the marketplace
从市场加载软件包,Loads the packages from the marketplace
从市场加载代码段,Loads the snippets from the marketplace
从一个选择的纹理加载纹理,Loads the textures from a single selected one
位置,Loc
位置+旋转,Loc + Rot
位置+旋转+缩放,Loc + Rot + Scale
位置+缩放,Loc + Scale
位置X,Loc X
位置Y,Loc Y
位置Z,Loc Z
位置.,Loc.
位置/旋转/缩放,Loc/Rot/Scale
位置 + 旋转,LocRot
位置 + 旋转 + 缩放,LocRotScale
位置 + 缩放,LocScale
本地/局部,Local
局部+X切向,Local +X Tangent
局部+Z切向,Local +Z Tangent
局部-X切向,Local -X Tangent
局部-Z切向,Local -Z Tangent
局部坐标轴,Local Axes
局部轴,Local Axis
自身轴 - 自身轴,Local Axis - Local Pivot
局部轴:,Local Axis:
本地缓存,Local Cache
局部摄像机,Local Camera
锁定相机:,Local Camera:
本地集合,Local Collections
局部坐标系,Local Coordinates
局部坐标?,Local Coordinates?
本地数据块,Local Data-blocks
局部尺寸,Local Dimensions
局部编辑,Local Edit
本地谷歌词典已清除!,Local Google Dictionary cleared!
本地层变换逆矩阵,Local Layer transformation inverse matrix
本地层变换矩阵,Local Layer transformation matrix
锁定坐标,Local Location
本地材质,Local Materials
局部矩阵,Local Matrix
局部方向,Local Orientation
位置轴,Local Pivots
局部位置,Local Position
当前旋转,Local Rotation
局部旋转速度,Local Rotational Velocity
当前比例,Local Scale
局部空间,Local Space
局部空间(所有者方位),Local Space (Owner Orientation)
"局部空间对齐
ALT: 世界空间对齐
CTRL: 自定义空间对齐","Local Space Align
ALT: World Space Align
CTRL: Cursor Space Align"
局部空间对齐\nALT: 世界空间对齐\nCTRL: 自定义空间对齐,Local Space Align\nALT: World Space Align\nCTRL: Cursor Space Align
"局部空间中心
ALT: 世界空间中心
CTRL: 自定义空间中心","Local Space Center
ALT: World Space Center
CTRL: Cursor Space Center"
局部空间中心\nALT: 世界空间中心\nCTRL: 自定义空间中心,Local Space Center\nALT: World Space Center\nCTRL: Cursor Space Center
局部强度,Local Strength
局部旋转速度(Torque),Local Torque
局部变换,Local Transform
局部速度,Local Velocity
局部顶点组用户 : ,Local Vertex-Group User : 
局部视图,Local View
局部视图（回退）,Local View (Inverted)
局部权重回归,Local Weighted Regression
局部带父系,Local With Parent
局部 x 轴,Local X-Axis
局部Y,Local Y
局部Z,Local Z
局部 z 轴,Local Z-Axis
局部约束,Local bounds
当前坐标,Local coords
法国兰伯特93投影的局部网格,Local grid in French Lambert 93 projection
仅本地,Local only
仅限本地项目,Local projects only
局部旋转,Local rotation
局部缩放,Local scale
本地选区已锁定。,Local selection is locked.
此三角形的局部空间单位长度的法向矢量,Local space unit length normal vector for this face
多边形的局部空间单位长度的法线矢量,Local space unit length normal vector for this polygon
此三角形的局部空间单位长度的法向矢量,Local space unit length normal vector for this triangle
此多边形的词顶点的局部空间单位长度的法线裂解矢量 (必须使用 calc_normals_split or calc_tangents 执行预计算),Local space unit length split normal vector of this vertex for this polygon (must be computed beforehand using calc_normals_split or calc_tangents)
此三角形的局部空间单位长度的法向矢量,Local space unit length split normal vectors of the face corners of this triangle
此面的局部空间单位长度的顶点拆分法线矢量 (必须使用 calc_normals_split or calc_tangents 执行预计算),Local space unit length split normals vectors of the vertices of this triangle (must be computed beforehand using calc_normals_split or calc_tangents)
此多边形的词顶点的局部空间单位长度的切向裂解矢量 (必须使用 calc_tangents 执行预计算),Local space unit length tangent vector of this vertex for this face (must be computed beforehand using calc_tangents)
此多边形的词顶点的局部空间单位长度的切向裂解矢量 (必须使用 calc_tangents 执行预计算),Local space unit length tangent vector of this vertex for this polygon (must be computed beforehand using calc_tangents)
先局部后全局,Local then global
本地时间,Local time
局部视图,Local view
局部 x 轴,Local x-axis
局部 z 轴,Local z-axis
局部/全局,Local/Global
局部: ,Local: 
"当前语系的字符集“%s”和输入文件的字符集“%s”不同。
“%s”的输出可能有误。可行的解决方法包含：
","Locale charset ""%s"" is different from
input file charset ""%s"".
Output of '%s' might be incorrect.
Possible workarounds are:
"
"语系的字符集编码“%s”不是通用的编码名称。
“%s”的输出可能有误。
设置 LC_ALL=C 是一个可行的解决方法。
","Locale charset ""%s"" is not a portable encoding name.
Output of '%s' might be incorrect.
A possible workaround is to set LC_ALL=C.
"
全部本地化,Localize All
"本地化全部追加数据, 包含那些间接关联自其它库的","Localize all appended data, including those indirectly linked from other libraries"
定位参考对象的轴,Locals axes of the reference object
位于“渲染”面板上,Located on render panel
位置,Location
位置 + 旋转,Location & Rotation
位置 + 缩放,Location & Scale
位置(物体空间),Location (Object Space)
位置1,Location 1
位置2,Location 2
位置3,Location 3
位置4,Location 4
位置 A,Location A
位置轴,Location Axis
位置 B,Location B
位置影响度,Location Influence
位置锁定,Location Locks
位置混合模式,Location Mix Mode
位置偏移,Location Offset
位置 偏移/随机,Location Offset/Scale
位置要求,Location Required
位置比例乘数,Location Scale Multiplier
位置随机种,Location Seed
位置值,Location Values
位置值 ,Location Values 
X 位置,Location X
位置X:,Location X:
Y 位置,Location Y
位置Y:,Location Y:
Z 位置,Location Z
新增节点的位置,Location for adding new nodes
新建物体的坐标值,Location for the newly added object
位置从 %s,Location from %s
波的起点在世界空间的位置,Location in World Space for Origin of Wave
插件所在的Blender内的位置,Location inside Blender where the addon is located
图集的位置，由 data.json 和相关纹理定义,"Location of Atlas, defined by data.json and related textures"
轴心点位置,Location of PivotPoint
"裁剪片位置, 定义的 data.json 和相关纹理","Location of Trim Sheet, defined by data.json and related textures"
轴线位置,Location of axis
柜子的位置,Location of cabinet
质心位置,Location of center of mass
自定义默认值的位置(Location of custom defaults),Location of custom defaults
自定义代理物体的位置,Location of custom proxy file
"生成的物质资产的相对位置 
            相对于.blend文件的位置。 未保存的混合文件将始终保存 
            这些资产到临时目录","Location of generated substance assets relative 
            to the .blend file.  Unsaved blend files will always save 
            these assets to the temporary directory"
骨骼头尾的位置,Location of head end of the bone
定位头的底部相关的骨骼,Location of head end of the bone relative to armature
骨骼的头部相对其父级的位置,Location of head end of the bone relative to its parent
通道骨骼的头位置,Location of head of the channel's bone
帧内标记的位置,Location of marker on frame
物体空间中测量点的位置,Location of mesured point in object space
新建圆环的位置,Location of new circle
存储substance数据的位置,Location of stored substance data
骨骼尾部末端的位置,Location of tail end of the bone
定位尾部的底部相关的骨骼,Location of tail end of the bone relative to armature
骨骼的尾端相对其父级的位置,Location of tail end of the bone relative to its parent
通道骨骼的尾位置,Location of tail of the channel's bone
物体无法逾越的目标位置,Location of target that object will not pass through
动作对应的控制器目标在世界空间中的位置,Location of the action's corresponding controller aim in world space
导出文件的位置,Location of the exported file
"毛发键在其内部坐标系统中的位置, 相对于发射面","Location of the hair key in its local coordinate system, relative to the emitting face"
物体空间的毛发关键体位置,Location of the hair key in object space
物体的位置,Location of the object
原点的位置,Location of the origin point
文本位置,Location of the text
文本数据中的字符位置 (仅用于文本曲线),Location of this character in the text data (only for text curves)
此图层纹理的位置,Location of this layers textures
区域空间内的顶点位置,Location of vertex in area space
规格化空间中的顶点位置,Location of vertex in normalized space
插件在blender中的位置,Location of your addon in blender
在确定查看器位置时，应用于基本姿势的位置偏移,Location offset to apply to base pose when determining viewer location
轴上的位置 ,Location on axis 
磁盘上存储烘焙数据的位置,Location on disk where the bake data is stored
仅位置,Location only
位置 -> 增量,Location to Deltas
新增点的目标位置,Location to add new vertex at
代理文件的存储位置,Location to store the proxy files
位置 + 旋转 + 缩放,"Location, Rotation & Scale"
位置 + 旋转 + 缩放 + 自定义属性,"Location, Rotation, Scale & Custom Properties"
位置/旋转/缩放:,Location/Rotation/Scale:
位置:,Location:
位置,Locations
锁定,Lock
锁定 ({}) 按空格键锁定/解锁,Lock ({}) press SPACE to lock/unlock
锁定1k,Lock 1k
锁定1x,Lock 1x
锁定活动项,Lock Active
锁定调整,Lock Adjust
锁定Alpha,Lock Alpha
锁定轴向,Lock Axis
锁定边界,Lock Borders
锁定相机到视图,Lock Cam To View
锁定相机到视图,Lock Cam to View
锁定相机,Lock Camera
锁定相机平移/缩放,Lock Camera Pan/Zoom
锁定相机视角,Lock Camera To View
锁定摄像机到视图方位,Lock Camera to View
锁定单元格大小,Lock Cell Size
锁定活动的集合,Lock Collection of Active
锁定方向,Lock Direction
锁定海拔,Lock Elevation
锁定发稍,Lock Ends
锁定焦平面,Lock Focal Plane
锁定帧,Lock Frame
锁定选中帧,Lock Frame Selection
锁定保持,Lock HOLD
锁定保持,Lock Hold
锁定水平,Lock Horizon
锁定IK X,Lock IK X
锁定界面,Lock Interface
锁定接口 [use_lock_interface],Lock Interface [use_lock_interface]
锁定层,Lock Layer
锁定层.,Lock Layer.
锁定位置,Lock Location
锁定标记,Lock Markers
锁定网格边界顶点,Lock Mesh Border Vertices
锁定网格,Lock Meshes
锁定方法,Lock Method
锁定鼠标,Lock Mouse
锁紧螺母,Lock Nut
锁定物体模式,Lock Object Modes
锁定对象变换,Lock Object Transforms
锁定排序,Lock Order
锁定重叠,Lock Overlapping
锁定重叠:,Lock Overlapping:
锁定钉固的孤岛,Lock Pinned Islands
锁定点,Lock Points
锁定多边形法向,Lock Polygon Normals
锁定属性,Lock Property
锁定发根,Lock Roots
锁定旋转,Lock Rotation
锁定旋转(4D角度),Lock Rotation (4D Angle)
缩放时锁定旋转,Lock Rotation When Scaling
锁定旋转:,Lock Rotation:
锁定旋转(4D),Lock Rotations (4D)
锁定缩放,Lock Scale
锁定形态,Lock Shape
锁定状态,Lock Status
锁定纹理,Lock Texture
锁定时间到其它窗口,Lock Time to Other Windows
锁定发梢,Lock Tips
锁定到时间线,Lock To Timeline
锁定到视图,Lock To View
锁定工具栏位置,Lock Toolbar Positions
锁定追踪约束,Lock Track Constraint
锁定变换,Lock Transform
锁定变换相机,Lock Transform Camera
锁定转型,Lock Transformation
锁定变换,Lock Transforms
锁定转换:,Lock Translation:
锁定朝上方向,Lock Up Orientation
将视图锁定到物体:,Lock View to Object:
锁定 X,Lock X
锁定X轴,Lock X Axis
锁定 X 轴位置,Lock X Pos
锁定 X 轴旋转,Lock X Rot
锁定 X 轴旋转,Lock X Rotation
锁定 XY,Lock XY
锁定 Y,Lock Y
锁定Y轴,Lock Y Axis
锁定 Y 轴位置,Lock Y Pos
锁定 Y 轴旋转,Lock Y Rot
锁定 Y 轴旋转,Lock Y Rotation
锁定 Z,Lock Z
锁定Z轴,Lock Z Axis
锁定 Z 轴位置,Lock Z Pos
锁定 Z 轴旋转,Lock Z Rot
锁定 Z 轴旋转,Lock Z Rotation
"锁定一个库，以防止用户创建和删除贴花. 需要重新加载库
无法解锁提供的库","Lock a library to prevent User Decal Creation and Removal. Requires Library Reload
Supplied Libraries can't be unlocked"
锁定要执行的动作,Lock action to execute
锁定要处理顶点组的动作,Lock action to execute on vertex groups
锁定所有蜡笔颜色，避免意外修改,Lock all Grease Pencil colors to prevent them from being accidentally modified
锁定所有蜡笔图层，避免意外编辑操作,Lock all Grease Pencil layers to prevent them from being accidentally modified
锁定所有蜡笔材质，避免意外编辑操作,Lock all Grease Pencil materials to prevent them from being accidentally modified
锁定所有形态键,Lock all shape keys
锁定活动物体的全部形态键,Lock all shape keys of the active object
锁定所有顶点组,Lock all vertex groups
锁定活动物体的全部顶点组,Lock all vertex groups of the active object
锁定并隐藏未在任何图层用到的任何颜色,Lock and hide any color not used in any layer
锁定并隐藏任何未使用的材质,Lock and hide any material not used
锁定在任何所选笔画中未使用的颜色,Lock any color not used in any selected stroke
锁定在任何所选笔画中未用到的材质,Lock any material not used in any selected stroke
自动锁定除活动项外的所有图层，以避免意外修改,Lock automatically all layers except active one to avoid accidental changes
"锁定烘焙设置,不随着所选对象更改","Lock baking sets, don't change with selection"
在简化期间锁定边界顶点，以避免在连接的网格上产生间隙,Lock border vertices during simplification to avoid gaps on connected meshes
锁定通道,Lock channel
更改 OCIO设置时将当前颜色锁定以维持一致的视觉效果,Lock current color to have the same visual representation when changing OCIO configuration
锁定当前层的显示帧,Lock current frame displayed by layer
锁定层展示的当前帧(i.e. 禁用动画回放),Lock current frame displayed by layer (i.e. disable animation playback)
"在回放和追踪时, 将曲线视图锁定到时间指针位置",Lock curves view to time cursor during playback and tracking
在界面中锁定组件的四个角度编辑,Lock editing of 'angle' component of four-component rotations in the interface
变换时锁定四分量旋转的'角度'分量编辑,Lock editing of 'angle' component of four-component rotations when transforming
使用组件锁定四个组件的旋转编辑(而不是使用欧拉计算),Lock editing of four component rotations by components (instead of as Eulers)
在界面中锁定位移编辑,Lock editing of location in the interface
变换时锁定位置编辑,Lock editing of location when transforming
在界面中锁定旋转,Lock editing of rotation in the interface
变换时锁定旋转编辑,Lock editing of rotation when transforming
在界面中锁定缩放的编辑,Lock editing of scale in the interface
变换时锁定缩放编辑,Lock editing of scale when transforming
锁定x坐标的编辑,Lock editing of the x-coordinate
锁定y坐标的编辑,Lock editing of the y-coordinate
锁定z坐标的编辑,Lock editing of the z-coordinate
在IPR预览期间锁定最终渲染（可能会使插件不稳定…）,Lock final render during IPR session (can turn undestable the addon..)
IPR锁定最终渲染,Lock final render for IPR
锁定参考线,Lock guides
锁定XY平面 (移动 & 旋转),Lock in XY plane (move & rotation)
在渲染期间锁定界面，以便为渲染器提供更多内存,Lock interface during rendering in favor of giving more memory to the renderer
锁定纬度并更改经度,Lock latitude and change longitude.
锁定经度并更改纬度,Lock longitude and change latitude.
带骨架修改器的锁定网格,Lock meshes with armature modifier
将运动信息锁定给重建后的摄像机运动,Lock motion to the reconstructed camera movement
锁定运动为重建物体运动,Lock motion to the reconstructed object movement
将运动锁定到目标运动轨迹上,Lock motion to the target motion track
将运动锁定到目标路径,Lock motion to the target path
锁定对象,Lock objects
锁定原点,Lock origin
将旋转锁定在曲线两端之间的轴线上,Lock rotation to the axis between the curve ends
锁定活动对象的选定顶点组和解锁未选定顶点组,Lock selected and unlock unselected vertex groups of the active object
锁定选中的轨道,Lock selected tracks
锁定活动物体的已选中顶点组,Lock selected vertex groups of the active object
锁定，所以变化适用于直到行结束,Lock so changes apply till end of line
锁定片段使其无法变换,Lock strip so that it cannot be transformed
锁定片段使其无法变换,Lock strips so they can't be transformed
网格顶点锁定纹理(保存UV),Lock texture when vertices of mesh (Preserve UV)
锁定的UV贴图的X轴,Lock the X axis of the UVs map
锁定的UV贴图的Y轴,Lock the Y axis of the UVs map
锁定宽高比,Lock the aspect ratio
锁定高度,Lock the height
将鼠标锁定在当前区域,Lock the mouse in the current area
锁定已显示项目的顺序(用户无法更改),Lock the order of shown items (user cannot change it)
锁定发根点位置,Lock the position of root points
锁定模拟衰减区域中顶点的位置，以避免缺陷，并创建与未受影响区域的更柔和过渡,Lock the position of the vertices in the simulation falloff area to avoid artifacts and create a softer transition with unaffected areas
锁定变量以防止删除,Lock the var from being deleted
将视图锁定至活动物体 / 骨骼,Lock the view to the active object/bone
锁定宽度,Lock the width
锁定这个粒子系统散布和聚集设置,Lock this particle-system scattering & clustering settings
平滑时锁定尖端位置,Lock tip position when smoothing
锁定到3D游标,Lock to 3D Cursor
锁定到骨骼,Lock to Bone
锁定到游标,Lock to Cursor
锁定到物体,Lock to Object
锁定到对象:,Lock to Object:
锁定折射IOR,Lock to Refraction IOR
锁定到选中项,Lock to Selection
锁定到时间指针,Lock to Time Cursor
锁定到视角,Lock to View
锁定到X-轴,Lock to X-Axis
锁定到XY-平面,Lock to XY Plane
锁定到XZ-平面,Lock to XZ Plane
锁定到Y-轴,Lock to Y-Axis
锁定到YZ-平面,Lock to YZ Plane
锁定到Z-轴,Lock to Z-Axis
锁定活动物体的未选中顶点组,Lock unselected vertex groups of the active object
锁定侧视图中的视角旋转,Lock view rotation in side views
将侧视图的视图旋转锁定到顶部/正面/右侧,Lock view rotation of side views to Top/Front/Right
"在回放时, 将视图锁定到选中的标记",Lock viewport to selected markers during playback
锁定 {}x,Lock {}x
锁定相对,Lock-Relative
锁定/静音,Lock/Mute
锁定/取消锁定 设置,Lock/Unlock Settings
锁定 / 解锁选中的轨道,Lock/unlock selected tracks
锁定:,Lock:
已锁定,Locked
锁定轴,Locked Axis
锁定的标记,Locked Marker
锁定追踪,Locked Track
锁定追踪约束,Locked Track Constraint
已锁定轨道,Locked Tracks
"如果您订阅完整计划,则锁定的模型可用0",Locked models are available if you subscribe to Full plan.
笔尖锁定图案,Locked pattern
锁定轨道,Locked tracks
锁定的顶点组将不会被传递.,Locked vertex groups will be not transferred.
锁定,Locks
锁定打开,Locks ON
行走,Locomotion
蝗虫,Locust
详细程度,Lodify
Lodify已启用,Lodify is enabled
未启用Lodify,Lodify is not enabled yet
还没有安装Lodify,Lodify is not installed yet
Lodify会自动为LOD0对象设置LOD,Lodify will automatically set-up LOD's for LOD0 object
放样,Loft
放样段数,Loft Segments
样条放样,Loft Splines
放样循环,Loft loop
放样多个循环，而不是考虑他们作为 ,"Loft multiple loops, instead of considering them as "
放样 无-循环,Loft no-loop
放样设置,Loft settings
放样选择曲线,Lofts selected curves
对数,Log
与带有色度插入和旋转的Log 编码，并且具有25个档次的动态范围,"Log Encoding with Chroma inset and rotation, and with 25 Stops of Dynamic Range"
日志级别,Log Level
日志最小级别,Log Min Level
对数正态(Log Normal),Log Normal
对数功率,Log Power
对数序列(Log Series),Log Series
日志设置,Log Settings
日志查看器,Log Viewer
基于filmic shaper的log，使用16.5stops的宽容度，以及25 stops的动态范围,"Log based filmic shaper with 16.5 stops of latitude, and 25 stops of dynamic range"
伽玛转换的日志,Log conversion gamma
参考黑点的对数转换,Log conversion reference blackpoint
参考白点的对数转换,Log conversion reference whitepoint
登录,Log in
登录以下载模型,Log in to download models
登录以上传模型,Log in to upload models
登录到您的Sketchfab帐户,Log in to your Sketchfab account
日志级别,Log level
日志最低级别,Log minimum level
操作、警告和错误信息的日志,"Log of operations, warnings and error messages"
记录到控制台,Log to console
记录到文件,Log to file
日志输出到文本缓冲区,Log to text buffer
日志（X）到基部Y,Log(X) to base Y
对数,Logarithm
以B为底取A的对数,Logarithm A base B
对数 [log_b(a)],Logarithm [log_b(a)]
基数10的对数,Logarithm base 10
基数2的对数,Logarithm base 2
基数e的对数,Logarithm base e
对数基数小数,Logarithm base radix
对数分布,Logarithmic
对数式消融,Logarithmic Dissolve
对数设置:,Logarithmic Settings:
对数式消融,Logarithmic dissolve
记录的字符,Logged Char
登入,Logged in
登录为 {},Logged in as {}
日志记录已成功启动,Logging Started Successfully
日志,Logging level
改变日志级别,Logging level changed
要使用的日志级别,Logging level to use
记录:,Logging:
逻辑(Logic),Logic
逻辑砖(Brick),Logic Brick
逻辑块,Logic Bricks
逻辑编辑器,Logic Editor
逻辑门 Gate,Logic Gate
逻辑门选择 Gate,Logic Gate choice
逻辑网络状态,Logic Network Status
逻辑节点编辑器,Logic Node Editor
逻辑节点,Logic Nodes
逻辑操作,Logic Operator
逻辑树,Logic Tree
逻辑树编辑器,Logic Tree Editor
逻辑树,Logic Trees
逻辑 AND,Logical AND
逻辑 OR,Logical OR
布尔逻辑操作,Logical Operations
逻辑运算,Logical operator
以其他身份登录,Login as someone else
登录失败 :(,Login failed :(
"登录失败.
 {}","Login failed.
 {}"
登录失败.请粘贴正确的API密钥.,Login failed. Please paste a correct API Key.
在BlenderKit网页上联机登录,Login online on BlenderKit webpage
登录状态类型,Login status type
通过浏览器登录,Login through browser
登录到cove.tool,Login to cove.tool
"登录上传你自己的模型,材质或笔刷.","Login to upload your own models, materials or brushes."
