"开始","Inception"
"MACHIN3：切换注释","MACHIN3: Toggle Annotation"
"切换注释可见性","Toggle Annotation Visibility"
"机械3：曲面绘制","MACHIN3: Surface Draw"
"曲面绘制，创建父对象、空 GreasePencil 对象并进入绘制模式。","Surface Draw, create parented, empty GreasePencil object and enter DRAW mode.\nSHIFT: Select the Line tool."
"曲面图层","SurfaceLayer"
"黑色","Black"
"内置线条","builtin.line"
"buildin_brush.Draw","builtin_brush.Draw"
"MACHIN3: 收缩缠绕油脂笔","MACHIN3: ShrinkWrap Grease Pencil"
"根据曲面偏移值将当前油脂铅笔图层收缩包覆至最接近的网格表面","Shrinkwrap current Grease Pencil Layer to closest mesh surface based on Surface Offset value"
"机械3：设置变换预置","MACHIN3: Set Transform Preset"
"同时设置变换枢轴和方向。","Set Transform Pivot and Orientation at the same time."
"变换枢轴","Transform Pivot"
"变换方向","Transform Orientation"
"机械3：删除更新","MACHIN3: Remove Update"
"我改变主意了，我不","I changed my mind, I don"
"MACHIN3：使用更新","MACHIN3: Use Update"
"MACHIN3：重新扫描更新","MACHIN3: Re-Scan Updates"
"重新扫描更新","Re-Scan Updates"
"MACHIN3：对齐（UV）","MACHIN3: Align (UV)"
"根据最小/最大 UV 值对齐顶点","Align verts based on min/max UV values"
"查看轴","View Axis"
"默认： 场景中没有相机： 从视图中创建摄像机： 使选定的摄像机处于活动状态并查看它： 从当前视图创建摄像机。","Default: View Active Scene Camera\nNo Camera in the Scene: Create Camera from View\nCamera Selected: Make Selected Camera active and view it.\nAlt + Click: Create Camera from current View."
"使其处于活动状态","Make Active"
"使选定的摄像机处于活动状态。","Make selected Camera active."
"MACHIN3: 下一个摄像头","MACHIN3: Next Cam"
"MACHIN3: 切换摄像机透视/全景","MACHIN3: Toggle Camera Perspective/Ortho"
"切换活动场景摄像机透视/全景","Toggle Active Scene Camera Perspective/Ortho"
"机械3：切换视图透视/全景","MACHIN3: Toggle View Perspective/Ortho"
"切换视口透视/全景","Toggle Viewport Perspective/Ortho"
"MACHIN3：切换轨道方法","MACHIN3: Toggle Orbit Method"
"机械3：切换轨道选择","MACHIN3: Toggle Orbit Selection"
"MACHIN3：创建景深对焦 空","MACHIN3: Create DoF Empty"
"创建空景深焦点","Create Depth of Field Focus Empty"
"按住 CTRL 键将景深聚焦空捕捉到一个曲面上","Hold CTRL to snap the DoF Focus empty to a Surface"
"MACHIN3：选择景深对象","MACHIN3: Select DoF Object"
"选择景深焦点对象","Select Depth of Field Focus Object"
"机械3： 重置视口","MACHIN3: Reset Viewport"
"将视口与 Y 轴完全对齐，观察 Y+ 方向","Perfectly align the viewport with the Y axis, looking into Y+"
"切换工作区","Switch Workspace"
"机械3：获取图标名称帮助","MACHIN3: Get Icon Name Help"
"MACHIN3：添加世界","MACHIN3: Add World"
"添加世界","World"
"MACHIN3：设置体积世界","MACHIN3: Setup Volumetric World"
"设置体积世界","Setup Volumetric World"
"体积世界","Volumetric World"
"资产类别","Asset Categories"
"组","Groups"
"表面滑动","Surface Sliding"
"MACHIN3tools 斜坡","MACHIN3tools Bevel"
"MACHIN3tools 斜坡着色器半径数学","MACHIN3tools Bevel Shader Radius Math"
"MACHIN3tools 斜坡着色器半径数学 2","MACHIN3tools Bevel Shader Radius Math2"
"MACHIN3tools 斜坡着色器半径数学 3","MACHIN3tools Bevel Shader Radius Math3"
"MACHIN3tools 斜坡着色器全局半径","MACHIN3tools Bevel Shader Global Radius"
"MACHIN3tools 斜坡着色器对象切换","MACHIN3tools Bevel Shader Object Toggle"
"M3.bevel_shader_toggle","M3.bevel_shader_toggle"
"MACHIN3tools 斜坡着色器对象半径调节","MACHIN3tools Bevel Shader Object Radius Modulation"
"M3.bevel_shader_radius_mod","M3.bevel_shader_radius_mod"
"MACHIN3tools 斜坡着色器尺寸半径调节","MACHIN3tools Bevel Shader Dimensions Radius Modulation"
"M3.bevel_shader_dimensions_mod","M3.bevel_shader_dimensions_mod"
"MACHIN3_%s_%s","MACHIN3_%s_%s"
